stitle,xpostDate,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
垃圾清運點：臺北市北投區珠海路進賢路口,2011/7/28 下午 05:49:00,車號：93-600，車次：第3車，時間：19:30~19:31,2012/3/1 上午 06:47:00,臺北市北投區珠海路進賢路口,121.504958,25.140801
垃圾清運點：臺北市北投區西園街翠華街口,2011/7/28 下午 05:50:00,車號：93-600，車次：第3車，時間：19:45~19:46,2012/3/1 上午 06:47:00,臺北市北投區西園街翠華街口,121.505821,25.145481
垃圾清運點：臺北市北投區幽雅路市議會招待所(由回收車收運),2011/7/28 下午 05:50:00,車號：93-600，車次：第4車，時間：20:40~20:42,2012/3/1 上午 06:47:00,臺北市北投區幽雅路市議會招待所(由回收車收運),121.5598345,25.091075
垃圾清運點：臺北市北投區東昇路38之12號(回收車),2011/7/28 下午 05:53:00,車號：93-601，車次：第1車，時間：17:37~17:38,2012/3/1 上午 06:47:00,臺北市北投區東昇路38之12號(回收車),121.5598345,25.091075
垃圾清運點：臺北市北投區湖山路一段31號,2011/7/28 下午 05:53:00,車號：93-601，車次：第1車，時間：18:02~18:05,2012/3/1 上午 06:47:00,臺北市北投區湖山路一段31號,121.539376,25.152333
垃圾清運點：臺北市北投區竹子湖路67之68號前,2011/7/28 下午 05:54:00,車號：93-601，車次：第1車，時間：18:25~18:26,2012/3/1 上午 06:47:00,臺北市北投區竹子湖路67之68號前,121.557049,25.17759
垃圾清運點：臺北市北投區承德路七段401巷120號,2010/11/8 下午 06:23:00,車號：94-S392，車次：第1車，時間：17:02~17:03,2012/3/1 上午 06:47:00,臺北市北投區承德路七段401巷120號,121.500255,25.117039
垃圾清運點：臺北市北投區大度路三段301巷28弄口,2011/11/7 上午 09:55:00,車號：94-S392，車次：第2車，時間：18:00~18:02,2012/3/1 上午 06:47:00,臺北市北投區大度路三段301巷28弄口,121.465777,25.122177
垃圾清運點：臺北市北投區大度路一段怡和巷,2010/11/8 下午 06:23:00,車號：94-S392，車次：第2車，時間：18:53~18:58,2012/3/1 上午 06:47:00,臺北市北投區大度路一段怡和巷,121.5598345,25.091075
垃圾清運點：臺北市北投區溫泉路68巷14-1號,2010/11/8 下午 06:23:00,車號：94-S393，車次：第2車，時間：19:11~19:13,2012/3/1 上午 06:47:00,臺北市北投區溫泉路68巷14-1號,121.506017,25.134611
垃圾清運點：臺北市北投區奇岩路258號,2010/11/8 下午 06:23:00,車號：94-S393，車次：第3車，時間：20:00~20:03,2012/3/1 上午 06:47:00,臺北市北投區奇岩路258號,121.510871,25.127929
垃圾清運點：臺北市北投區奇岩路65號,2010/11/8 下午 06:23:00,車號：94-S393，車次：第3車，時間：20:26~20:27,2012/3/1 上午 06:47:00,臺北市北投區奇岩路65號,121.506996,25.132318
垃圾清運點：臺北市北投區大同街永興路口,2011/7/28 下午 05:57:00,車號：96-041，車次：第2車，時間：18:32~18:34,2012/3/1 上午 06:47:00,臺北市北投區大同街永興路口,121.499115,25.136955
垃圾清運點：臺北市北投區清江路大興街口,2011/7/28 下午 05:58:00,車號：96-041，車次：第3車，時間：19:38~19:41,2012/3/1 上午 06:47:00,臺北市北投區清江路大興街口,121.499549,25.130453
垃圾清運點：臺北市松山區復興北路207號,2012/2/21 上午 11:03:00,車號：80-676，車次：第2車，時間：20:05~20:20,2012/3/1 上午 06:48:00,臺北市松山區復興北路207號,121.544492,25.056289
垃圾清運點：臺北市松山區八德路四段70號,2010/11/8 下午 06:23:00,車號：86-966，車次：第1車，時間：17:50~18:07,2012/3/1 上午 06:48:00,臺北市松山區八德路四段70號,121.559981,25.04832
